instance_id,image_id,axis,source,chart_type,predicted_chart_type,score
000b92c3b098_x,000b92c3b098,x,extracted,line,line,1.0
000b92c3b098_y,000b92c3b098,y,extracted,line,line,0.7949982440774597
007a18eb4e09_x,007a18eb4e09,x,extracted,line,line,1.0
007a18eb4e09_y,007a18eb4e09,y,extracted,line,line,0.0
00dcf883a459_x,00dcf883a459,x,extracted,vertical_bar,vertical_bar,1.0
00dcf883a459_y,00dcf883a459,y,extracted,vertical_bar,vertical_bar,0.0
00f5404753cf_x,00f5404753cf,x,extracted,scatter,scatter,0.0
00f5404753cf_y,00f5404753cf,y,extracted,scatter,scatter,0.0
01b45b831589_x,01b45b831589,x,extracted,vertical_bar,vertical_bar,0.0
01b45b831589_y,01b45b831589,y,extracted,vertical_bar,vertical_bar,0.0008067169887739922
01b655fbe28a_x,01b655fbe28a,x,extracted,line,line,1.0
01b655fbe28a_y,01b655fbe28a,y,extracted,line,line,0.3217592619433438
01be96496478_x,01be96496478,x,extracted,vertical_bar,vertical_bar,0.9651304218833094
01be96496478_y,01be96496478,y,extracted,vertical_bar,vertical_bar,0.5201464428227136
02afb186f19a_x,02afb186f19a,x,extracted,line,line,1.0
02afb186f19a_y,02afb186f19a,y,extracted,line,line,0.9060320481734025
02f76c3816a0_x,02f76c3816a0,x,extracted,vertical_bar,vertical_bar,1.0
02f76c3816a0_y,02f76c3816a0,y,extracted,vertical_bar,vertical_bar,0.027481001869153587
034fa10992d2_x,034fa10992d2,x,extracted,scatter,scatter,0.0
034fa10992d2_y,034fa10992d2,y,extracted,scatter,scatter,0.0
039d3e82ebaf_x,039d3e82ebaf,x,extracted,scatter,scatter,0.0
039d3e82ebaf_y,039d3e82ebaf,y,extracted,scatter,scatter,0.4446022089525232
03abc1b29c7b_x,03abc1b29c7b,x,extracted,vertical_bar,vertical_bar,0.0
03abc1b29c7b_y,03abc1b29c7b,y,extracted,vertical_bar,vertical_bar,0.0
05d596662793_x,05d596662793,x,extracted,line,line,0.0
05d596662793_y,05d596662793,y,extracted,line,line,0.0
05da611a57cd_x,05da611a57cd,x,extracted,line,line,1.0
05da611a57cd_y,05da611a57cd,y,extracted,line,line,1.0
05e46285cb02_x,05e46285cb02,x,extracted,line,line,1.0
05e46285cb02_y,05e46285cb02,y,extracted,line,line,0.958187340148505
0614d9828b5c_x,0614d9828b5c,x,extracted,vertical_bar,vertical_bar,0.959481654806245
0614d9828b5c_y,0614d9828b5c,y,extracted,vertical_bar,vertical_bar,1.0
06b0dcada103_x,06b0dcada103,x,extracted,scatter,scatter,0.0
06b0dcada103_y,06b0dcada103,y,extracted,scatter,scatter,0.0
06c7b52ddf30_x,06c7b52ddf30,x,extracted,vertical_bar,vertical_bar,0.9772766395623262
06c7b52ddf30_y,06c7b52ddf30,y,extracted,vertical_bar,vertical_bar,1.0
070fab0a5cbb_x,070fab0a5cbb,x,extracted,vertical_bar,vertical_bar,1.0
070fab0a5cbb_y,070fab0a5cbb,y,extracted,vertical_bar,vertical_bar,0.0
0729ca4ed74d_x,0729ca4ed74d,x,extracted,vertical_bar,vertical_bar,0.9459985302690472
0729ca4ed74d_y,0729ca4ed74d,y,extracted,vertical_bar,vertical_bar,0.0513030224199309
0744d307a645_x,0744d307a645,x,extracted,line,line,1.0
0744d307a645_y,0744d307a645,y,extracted,line,line,0.7861741577751289
07830ddd0a42_x,07830ddd0a42,x,extracted,vertical_bar,vertical_bar,1.0
07830ddd0a42_y,07830ddd0a42,y,extracted,vertical_bar,vertical_bar,0.9791515800168586
07c882b97e67_x,07c882b97e67,x,extracted,scatter,scatter,0.0
07c882b97e67_y,07c882b97e67,y,extracted,scatter,scatter,0.0
080833215935_x,080833215935,x,extracted,vertical_bar,vertical_bar,0.7493581577012227
080833215935_y,080833215935,y,extracted,vertical_bar,vertical_bar,0.9073261636090022
08254b843a2e_x,08254b843a2e,x,extracted,line,line,1.0
08254b843a2e_y,08254b843a2e,y,extracted,line,line,0.8651893327577065
093d650c7539_x,093d650c7539,x,extracted,vertical_bar,vertical_bar,1.0
093d650c7539_y,093d650c7539,y,extracted,vertical_bar,vertical_bar,1.0
095ff057d971_x,095ff057d971,x,extracted,line,line,0.0
095ff057d971_y,095ff057d971,y,extracted,line,line,0.0
09874dc0e2fe_x,09874dc0e2fe,x,extracted,horizontal_bar,horizontal_bar,0.0
09874dc0e2fe_y,09874dc0e2fe,y,extracted,horizontal_bar,horizontal_bar,0.9916668595625429
09bb67db1ef1_x,09bb67db1ef1,x,extracted,line,line,1.0
09bb67db1ef1_y,09bb67db1ef1,y,extracted,line,line,0.8602841307166191
09e7a6845021_x,09e7a6845021,x,extracted,vertical_bar,vertical_bar,1.0
09e7a6845021_y,09e7a6845021,y,extracted,vertical_bar,vertical_bar,0.3388758147058446
0a14bb795a27_x,0a14bb795a27,x,extracted,line,line,1.0
0a14bb795a27_y,0a14bb795a27,y,extracted,line,line,0.9802035502598341
0a2a659c989b_x,0a2a659c989b,x,extracted,scatter,scatter,0.8974385254011175
0a2a659c989b_y,0a2a659c989b,y,extracted,scatter,scatter,0.0
0a52771756ec_x,0a52771756ec,x,extracted,line,line,1.0
0a52771756ec_y,0a52771756ec,y,extracted,line,line,0.4524707435297648
0a9fb4ed3a7e_x,0a9fb4ed3a7e,x,extracted,vertical_bar,vertical_bar,0.892311098468753
0a9fb4ed3a7e_y,0a9fb4ed3a7e,y,extracted,vertical_bar,vertical_bar,0.9847973868206561
0aa21c0d8302_x,0aa21c0d8302,x,extracted,vertical_bar,vertical_bar,0.8629370711188675
0aa21c0d8302_y,0aa21c0d8302,y,extracted,vertical_bar,vertical_bar,0.9747292084192583
0aa32df8e169_x,0aa32df8e169,x,extracted,line,line,0.9838723662291082
0aa32df8e169_y,0aa32df8e169,y,extracted,line,line,0.1870862538927991
0b491a15a181_x,0b491a15a181,x,extracted,line,line,1.0
0b491a15a181_y,0b491a15a181,y,extracted,line,line,0.0
0b507ccf1a99_x,0b507ccf1a99,x,extracted,horizontal_bar,vertical_bar,0.0
0b507ccf1a99_y,0b507ccf1a99,y,extracted,horizontal_bar,vertical_bar,0.0
0b533907be09_x,0b533907be09,x,extracted,line,line,0.0
0b533907be09_y,0b533907be09,y,extracted,line,line,0.0
0c0d34168eae_x,0c0d34168eae,x,extracted,vertical_bar,vertical_bar,1.0
0c0d34168eae_y,0c0d34168eae,y,extracted,vertical_bar,vertical_bar,0.9971398655430896
0c240c3d7f65_x,0c240c3d7f65,x,extracted,line,line,1.0
0c240c3d7f65_y,0c240c3d7f65,y,extracted,line,line,0.47487385039210084
0c4cdc7fb078_x,0c4cdc7fb078,x,extracted,line,line,1.0
0c4cdc7fb078_y,0c4cdc7fb078,y,extracted,line,line,0.054106192421785826
0ccb2bf2bafd_x,0ccb2bf2bafd,x,extracted,scatter,scatter,0.0
0ccb2bf2bafd_y,0ccb2bf2bafd,y,extracted,scatter,scatter,0.0
0d2a7c7b356d_x,0d2a7c7b356d,x,extracted,line,line,1.0
0d2a7c7b356d_y,0d2a7c7b356d,y,extracted,line,line,0.848229816428147
0d9095d4c7d6_x,0d9095d4c7d6,x,extracted,vertical_bar,vertical_bar,1.0
0d9095d4c7d6_y,0d9095d4c7d6,y,extracted,vertical_bar,vertical_bar,1.0
0d90f922e80b_x,0d90f922e80b,x,extracted,horizontal_bar,horizontal_bar,0.0
0d90f922e80b_y,0d90f922e80b,y,extracted,horizontal_bar,horizontal_bar,0.0
0db1f0461622_x,0db1f0461622,x,extracted,line,line,1.0
0db1f0461622_y,0db1f0461622,y,extracted,line,line,0.0
0ddf602b3301_x,0ddf602b3301,x,extracted,vertical_bar,vertical_bar,1.0
0ddf602b3301_y,0ddf602b3301,y,extracted,vertical_bar,vertical_bar,0.41194558230113154
0df1338d2df7_x,0df1338d2df7,x,extracted,line,line,0.0
0df1338d2df7_y,0df1338d2df7,y,extracted,line,line,0.0
0df40f602130_x,0df40f602130,x,extracted,scatter,scatter,0.0
0df40f602130_y,0df40f602130,y,extracted,scatter,scatter,0.0
0e46c988beac_x,0e46c988beac,x,extracted,vertical_bar,vertical_bar,1.0
0e46c988beac_y,0e46c988beac,y,extracted,vertical_bar,vertical_bar,0.6143651379873973
0e5b736215bb_x,0e5b736215bb,x,extracted,vertical_bar,vertical_bar,1.0
0e5b736215bb_y,0e5b736215bb,y,extracted,vertical_bar,vertical_bar,0.9622683365801357
0e6f426a6bb9_x,0e6f426a6bb9,x,extracted,vertical_bar,vertical_bar,1.0
0e6f426a6bb9_y,0e6f426a6bb9,y,extracted,vertical_bar,vertical_bar,0.9281073566284339
0eab2eb6e5b5_x,0eab2eb6e5b5,x,extracted,line,line,1.0
0eab2eb6e5b5_y,0eab2eb6e5b5,y,extracted,line,line,0.0
0f44faf6c099_x,0f44faf6c099,x,extracted,line,line,1.0
0f44faf6c099_y,0f44faf6c099,y,extracted,line,line,0.8293668819420583
0f930868a92f_x,0f930868a92f,x,extracted,scatter,scatter,0.0
0f930868a92f_y,0f930868a92f,y,extracted,scatter,scatter,0.0
0fbf7007f12f_x,0fbf7007f12f,x,extracted,vertical_bar,vertical_bar,0.9907410053424137
0fbf7007f12f_y,0fbf7007f12f,y,extracted,vertical_bar,vertical_bar,0.6651767920925882
1017e4325c68_x,1017e4325c68,x,extracted,line,line,1.0
1017e4325c68_y,1017e4325c68,y,extracted,line,line,0.9403901520926934
103e998b062a_x,103e998b062a,x,extracted,line,line,1.0
103e998b062a_y,103e998b062a,y,extracted,line,line,1.0
10c1640c5879_x,10c1640c5879,x,extracted,vertical_bar,vertical_bar,1.0
10c1640c5879_y,10c1640c5879,y,extracted,vertical_bar,vertical_bar,1.0
10ccce7064f0_x,10ccce7064f0,x,extracted,line,line,1.0
10ccce7064f0_y,10ccce7064f0,y,extracted,line,line,0.0
10ee1d6491d4_x,10ee1d6491d4,x,extracted,vertical_bar,vertical_bar,1.0
10ee1d6491d4_y,10ee1d6491d4,y,extracted,vertical_bar,vertical_bar,0.9499164682703145
110bda05bada_x,110bda05bada,x,extracted,scatter,scatter,1.0
110bda05bada_y,110bda05bada,y,extracted,scatter,scatter,0.0
1133cd0c9c06_x,1133cd0c9c06,x,extracted,vertical_bar,vertical_bar,1.0
1133cd0c9c06_y,1133cd0c9c06,y,extracted,vertical_bar,vertical_bar,0.0
11376f3d0424_x,11376f3d0424,x,extracted,line,line,1.0
11376f3d0424_y,11376f3d0424,y,extracted,line,line,0.8349458894390109
11dd7556f525_x,11dd7556f525,x,extracted,vertical_bar,vertical_bar,0.0
11dd7556f525_y,11dd7556f525,y,extracted,vertical_bar,vertical_bar,0.0
12349208df93_x,12349208df93,x,extracted,line,line,0.0
12349208df93_y,12349208df93,y,extracted,line,line,0.0
12456e4a2857_x,12456e4a2857,x,extracted,vertical_bar,vertical_bar,1.0
12456e4a2857_y,12456e4a2857,y,extracted,vertical_bar,vertical_bar,0.6985103664103101
1292ecd150f4_x,1292ecd150f4,x,extracted,vertical_bar,vertical_bar,0.0
1292ecd150f4_y,1292ecd150f4,y,extracted,vertical_bar,vertical_bar,0.9827440842087891
1293b05adf05_x,1293b05adf05,x,extracted,line,line,1.0
1293b05adf05_y,1293b05adf05,y,extracted,line,line,0.9510102145618546
12e0cc9d2ec8_x,12e0cc9d2ec8,x,extracted,vertical_bar,vertical_bar,1.0
12e0cc9d2ec8_y,12e0cc9d2ec8,y,extracted,vertical_bar,vertical_bar,0.9759377487095677
133003ec5f4a_x,133003ec5f4a,x,extracted,horizontal_bar,horizontal_bar,0.0
133003ec5f4a_y,133003ec5f4a,y,extracted,horizontal_bar,horizontal_bar,0.0
13a14c58a1d9_x,13a14c58a1d9,x,extracted,horizontal_bar,vertical_bar,0.0
13a14c58a1d9_y,13a14c58a1d9,y,extracted,horizontal_bar,vertical_bar,0.0
13eff4365d13_x,13eff4365d13,x,extracted,vertical_bar,vertical_bar,0.0
13eff4365d13_y,13eff4365d13,y,extracted,vertical_bar,vertical_bar,0.0
14059844edda_x,14059844edda,x,extracted,scatter,scatter,0.0
14059844edda_y,14059844edda,y,extracted,scatter,scatter,0.0
14326ff29e37_x,14326ff29e37,x,extracted,line,line,1.0
14326ff29e37_y,14326ff29e37,y,extracted,line,line,0.5734798076394059
150bda2d06ba_x,150bda2d06ba,x,extracted,horizontal_bar,vertical_bar,0.0
150bda2d06ba_y,150bda2d06ba,y,extracted,horizontal_bar,vertical_bar,0.0
151d4f714853_x,151d4f714853,x,extracted,vertical_bar,vertical_bar,1.0
151d4f714853_y,151d4f714853,y,extracted,vertical_bar,vertical_bar,0.9924543554495122
1568bb3dff78_x,1568bb3dff78,x,extracted,vertical_bar,vertical_bar,1.0
1568bb3dff78_y,1568bb3dff78,y,extracted,vertical_bar,vertical_bar,0.9902701572086949
157d1028b7b2_x,157d1028b7b2,x,extracted,horizontal_bar,horizontal_bar,0.0
157d1028b7b2_y,157d1028b7b2,y,extracted,horizontal_bar,horizontal_bar,0.0
1588a9e01bc9_x,1588a9e01bc9,x,extracted,vertical_bar,vertical_bar,1.0
1588a9e01bc9_y,1588a9e01bc9,y,extracted,vertical_bar,vertical_bar,0.9913685642053343
15951fbbe751_x,15951fbbe751,x,extracted,horizontal_bar,horizontal_bar,0.0
15951fbbe751_y,15951fbbe751,y,extracted,horizontal_bar,horizontal_bar,1.0
15eb431b4c61_x,15eb431b4c61,x,extracted,scatter,scatter,0.0
15eb431b4c61_y,15eb431b4c61,y,extracted,scatter,scatter,0.0
167dec377748_x,167dec377748,x,extracted,vertical_bar,vertical_bar,1.0
167dec377748_y,167dec377748,y,extracted,vertical_bar,vertical_bar,0.9932118862558585
17000b60f53e_x,17000b60f53e,x,extracted,scatter,scatter,0.0
17000b60f53e_y,17000b60f53e,y,extracted,scatter,scatter,0.0
171f88b0fa6d_x,171f88b0fa6d,x,extracted,vertical_bar,vertical_bar,1.0
171f88b0fa6d_y,171f88b0fa6d,y,extracted,vertical_bar,vertical_bar,0.9192432224963063
173526fcff49_x,173526fcff49,x,extracted,horizontal_bar,horizontal_bar,0.5098115354944577
173526fcff49_y,173526fcff49,y,extracted,horizontal_bar,horizontal_bar,0.9977973603903285
17612fef055d_x,17612fef055d,x,extracted,line,line,0.0
17612fef055d_y,17612fef055d,y,extracted,line,line,0.0
177475e95aa4_x,177475e95aa4,x,extracted,vertical_bar,vertical_bar,0.9535218831188681
177475e95aa4_y,177475e95aa4,y,extracted,vertical_bar,vertical_bar,0.9861320493845767
17adf17383bf_x,17adf17383bf,x,extracted,vertical_bar,vertical_bar,1.0
17adf17383bf_y,17adf17383bf,y,extracted,vertical_bar,vertical_bar,0.9132723396331068
17e557294438_x,17e557294438,x,extracted,vertical_bar,vertical_bar,0.9400718964708565
17e557294438_y,17e557294438,y,extracted,vertical_bar,vertical_bar,0.9681198858610889
18421d1954a7_x,18421d1954a7,x,extracted,vertical_bar,vertical_bar,0.0
18421d1954a7_y,18421d1954a7,y,extracted,vertical_bar,vertical_bar,0.9681532119515457
1844f84cf46d_x,1844f84cf46d,x,extracted,scatter,scatter,0.0
1844f84cf46d_y,1844f84cf46d,y,extracted,scatter,scatter,0.9845126087187148
19179172b666_x,19179172b666,x,extracted,scatter,scatter,0.0
19179172b666_y,19179172b666,y,extracted,scatter,scatter,0.0
1921ae3b6c33_x,1921ae3b6c33,x,extracted,scatter,scatter,0.8576409737201034
1921ae3b6c33_y,1921ae3b6c33,y,extracted,scatter,scatter,0.0
196e1da0fe27_x,196e1da0fe27,x,extracted,vertical_bar,vertical_bar,1.0
196e1da0fe27_y,196e1da0fe27,y,extracted,vertical_bar,vertical_bar,0.9936011565792091
197c134f3a19_x,197c134f3a19,x,extracted,line,line,1.0
197c134f3a19_y,197c134f3a19,y,extracted,line,line,0.0
19cef86ee374_x,19cef86ee374,x,extracted,vertical_bar,vertical_bar,1.0
19cef86ee374_y,19cef86ee374,y,extracted,vertical_bar,vertical_bar,0.9687023889857722
19d7be762662_x,19d7be762662,x,extracted,line,line,1.0
19d7be762662_y,19d7be762662,y,extracted,line,line,0.0
19da5634e48c_x,19da5634e48c,x,extracted,line,line,0.9926471913347421
19da5634e48c_y,19da5634e48c,y,extracted,line,line,0.0
19fc8a03ae29_x,19fc8a03ae29,x,extracted,line,line,0.0
19fc8a03ae29_y,19fc8a03ae29,y,extracted,line,line,0.0
1a3f1840a547_x,1a3f1840a547,x,extracted,line,line,1.0
1a3f1840a547_y,1a3f1840a547,y,extracted,line,line,0.0
1a612638c6c7_x,1a612638c6c7,x,extracted,scatter,scatter,0.0
1a612638c6c7_y,1a612638c6c7,y,extracted,scatter,scatter,0.0
1ab7f626447d_x,1ab7f626447d,x,extracted,scatter,scatter,0.0
1ab7f626447d_y,1ab7f626447d,y,extracted,scatter,scatter,0.0
1ad5023e987c_x,1ad5023e987c,x,extracted,line,line,0.0
1ad5023e987c_y,1ad5023e987c,y,extracted,line,line,0.0
1aff82c28773_x,1aff82c28773,x,extracted,line,line,1.0
1aff82c28773_y,1aff82c28773,y,extracted,line,line,0.9922849855769709
1b24827763f3_x,1b24827763f3,x,extracted,vertical_bar,vertical_bar,1.0
1b24827763f3_y,1b24827763f3,y,extracted,vertical_bar,vertical_bar,0.9765626455639944
1b8b95dc28e3_x,1b8b95dc28e3,x,extracted,vertical_bar,vertical_bar,0.8974209074528692
1b8b95dc28e3_y,1b8b95dc28e3,y,extracted,vertical_bar,vertical_bar,0.7236187939055676
1ba0ef1ae0ca_x,1ba0ef1ae0ca,x,extracted,vertical_bar,vertical_bar,1.0
1ba0ef1ae0ca_y,1ba0ef1ae0ca,y,extracted,vertical_bar,vertical_bar,0.0
1ba880ce861b_x,1ba880ce861b,x,extracted,vertical_bar,vertical_bar,0.8581068062330675
1ba880ce861b_y,1ba880ce861b,y,extracted,vertical_bar,vertical_bar,0.971579312185473
1bd01b1c40d8_x,1bd01b1c40d8,x,extracted,horizontal_bar,horizontal_bar,0.0
1bd01b1c40d8_y,1bd01b1c40d8,y,extracted,horizontal_bar,horizontal_bar,1.0
1bd8fa4655f0_x,1bd8fa4655f0,x,extracted,horizontal_bar,horizontal_bar,0.0
1bd8fa4655f0_y,1bd8fa4655f0,y,extracted,horizontal_bar,horizontal_bar,0.0
1c4ed99aaff2_x,1c4ed99aaff2,x,extracted,line,line,1.0
1c4ed99aaff2_y,1c4ed99aaff2,y,extracted,line,line,0.9739482318619395
1c91bc78195b_x,1c91bc78195b,x,extracted,scatter,scatter,1.0
1c91bc78195b_y,1c91bc78195b,y,extracted,scatter,scatter,1.0
1d2e0671a0b0_x,1d2e0671a0b0,x,extracted,line,line,1.0
1d2e0671a0b0_y,1d2e0671a0b0,y,extracted,line,line,0.19556213741045858
1d3863dfa7c5_x,1d3863dfa7c5,x,extracted,vertical_bar,vertical_bar,0.6183745657515318
1d3863dfa7c5_y,1d3863dfa7c5,y,extracted,vertical_bar,vertical_bar,0.9745868469214156
1d9a8fda551a_x,1d9a8fda551a,x,extracted,line,line,1.0
1d9a8fda551a_y,1d9a8fda551a,y,extracted,line,line,0.0
1e0f1d003fdb_x,1e0f1d003fdb,x,extracted,scatter,scatter,0.0
1e0f1d003fdb_y,1e0f1d003fdb,y,extracted,scatter,scatter,0.0
1e44b49c5d61_x,1e44b49c5d61,x,extracted,vertical_bar,vertical_bar,0.0
1e44b49c5d61_y,1e44b49c5d61,y,extracted,vertical_bar,vertical_bar,0.0
1e9f5e7caae3_x,1e9f5e7caae3,x,extracted,line,line,1.0
1e9f5e7caae3_y,1e9f5e7caae3,y,extracted,line,line,0.5628777821902884
1ed0cf06fd8a_x,1ed0cf06fd8a,x,extracted,line,line,1.0
1ed0cf06fd8a_y,1ed0cf06fd8a,y,extracted,line,line,0.9213746122732336
1ef856a36143_x,1ef856a36143,x,extracted,vertical_bar,vertical_bar,1.0
1ef856a36143_y,1ef856a36143,y,extracted,vertical_bar,vertical_bar,0.9893474171801635
1f0ce7d70104_x,1f0ce7d70104,x,extracted,scatter,scatter,0.0
1f0ce7d70104_y,1f0ce7d70104,y,extracted,scatter,scatter,0.0
